Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3
Albania,7.4,0.5,0.3,0.4,0.9,1.8,2.0,2.2,2.4,1.1,0.6,1.1
Algeria,12.3,11.2,16.9,23.9,17.7,20.8,20.5,18.4,15.9,10.4,7.7,9.3
Angola,27.3,37.2,47.1,35.8,33.7,33.5,30.0,25.5,19.6,8.8,8.7,12.8
Arab States,8.2,8.2,10.4,13.5,9.9,12.9,12.8,11.7,10.5,6.2,5.2,6.4
Argentina,2.2,1.1,2.0,5.3,2.8,3.2,3.1,2.7,2.4,1.0,0.9,1.0
Armenia,2.1,1.1,0.2,0.4,1.6,2.4,2.3,1.9,1.9,2.1,2.4,2.9
Australia,2.0,1.1,1.8,2.6,3.3,3.8,3.1,2.8,2.9,2.1,2.7,3.0
Austria,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1
Azerbaijan,0.05,0.0,27.4,20.5,23.8,25.2,21.8,18.5,15.3,9.4,10.3,13.4
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,10.5,3.9,5.2,5.7,5.3,7.4,8.3,9.0,8.9,4.6,3.0,3.2
Bangladesh,0.4,0.4,0.4,0.6,0.9,1.3,1.3,1.0,1.0,0.8,0.5,0.6
Barbados,0.4,0.2,0.4,0.3,0.3,0.5,0.5,0.4,0.3,0.1,0.0,0.0
Belarus,0.2,0.6,1.4,1.0,0.7,1.0,0.9,0.7,0.7,0.4,0.4,0.6
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,0.0,0.0,0.0,0.0,5.0,6.4,4.2,2.9,1.9,0.6,0.3,0.5
Benin,0.5,0.3,0.5,0.7,1.3,1.3,1.6,1.4,1.5,1.7,1.9,1.8
Bhutan,3.5,3.6,2.2,1.5,3.3,3.0,2.7,2.2,2.2,2.6,3.0,2.7
